     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.78 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.91 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.95 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.78 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.46 | mem=250.9 |
     0 | train=0.000665 | val=nan | lr=7.2e-05 | t_train=12.96 | t_val=12.18 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.301, psnr_set5=32.346, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000749 | val=nan | lr=0.000148 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.297, psnr_set5=32.344, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000685 | val=nan | lr=0.000224 | t_train=12.90 | t_val=12.14 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.301, psnr_set5=32.341, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.000809 | val=nan | lr=0.0003 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.296, psnr_set5=32.341, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.000899 | val=nan | lr=0.000376 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.301, psnr_set5=32.338, psnr_urban100=26.130, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.000961 | val=nan | lr=0.000452 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.303, psnr_set5=32.339, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     6 | train=0.000960 | val=nan | lr=0.000528 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.291, psnr_set5=32.346, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     7 | train=0.001121 | val=nan | lr=0.000604 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.291, psnr_set5=32.332, psnr_urban100=26.130, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
