     0 | base=nan | val=0.236715 | acc1=nan | Wμ=nan | Aμ=nan | Wmax=nan | Amax=nan |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236732 | acc1=0.9282 | Wμ=11.186 | Aμ=20.000 | Wmax=12.916 | Amax=13.744 |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236786 | acc1=0.9281 | Wμ=9.786 | Aμ=20.000 | Wmax=10.000 | Amax=13.743 |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236878 | acc1=0.9281 | Wμ=9.786 | Aμ=10.000 | Wmax=10.000 | Amax=9.994 |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | GradNorm | WSat | ASat | NoiseMean | NoiseVar | NoiseCorr | Temp | EpochTime(s)
     0 | base=nan | val=0.213726 | acc1=0.9335 | Wμ=9.786 | Aμ=10.000 | Wmax=10.000 | Amax=10.000 |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     1 | base=0.003548 | val=0.236476 | acc1=0.9278 | Wμ=9.786 | Aμ=10.001 | Wmax=10.004 | Amax=9.994 |LR=0.000198 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     3 | base=0.003461 | val=0.237902 | acc1=0.9274 | Wμ=9.786 | Aμ=10.003 | Wmax=10.007 | Amax=9.997 |LR=0.000398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     5 | base=0.003688 | val=0.238613 | acc1=0.9278 | Wμ=9.787 | Aμ=10.009 | Wmax=10.014 | Amax=10.001 |LR=0.000598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     7 | base=0.004443 | val=0.237782 | acc1=0.9272 | Wμ=9.787 | Aμ=10.018 | Wmax=10.025 | Amax=10.011 |LR=0.000798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     9 | base=0.006874 | val=0.241789 | acc1=0.9244 | Wμ=9.790 | Aμ=10.031 | Wmax=10.047 | Amax=10.012 |LR=0.000998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
